KTS	S	FD	KD	LT
16	1	0	16	16
34	66	0	17	17
59	8	0	57	57
59	11	0	57	57
62	2	0	62	62
62	12	0	59	59
63	19	0	58	58
63	29	0	55	55
63	20	0	57	57
64	7	0	63	63
64	24	0	57	57
64	25	0	57	57
64	26	0	57	57
65	23	0	58	58
66	32	0	57	57
66	34	0	57	57
67	37	0	57	57
68	31	0	59	59
68	42	0	57	57
68	53	0	55	55
69	30	0	61	61
69	15	0	65	65
69	55	0	55	55
70	36	0	61	61
70	52	0	57	57
71	51	0	58	58
71	5	0	71	71
72	59	0	57	57
73	62	0	57	57
73	14	0	69	69
74	48	0	62	62
74	43	0	63	63
74	75	0	55	55
74	65	0	57	57
75	60	0	59	59
75	16	0	71	71
75	58	0	61	61
75	78	0	56	56
75	72	0	57	57
75	69	0	57	57
75	90	0	53	53
76	63	0	60	60
76	79	0	57	57
77	57	0	63	63
77	67	0	60	60
77	73	0	59	59
77	92	0	55	55
77	76	0	58	58
77	50	0	64	64
77	70	0	59	59
78	10	0	76	76
78	3	0	78	78
79	22	0	73	73
79	99	0	55	55
79	33	0	70	70
79	83	0	59	59
79	71	0	61	61
80	46	0	69	69
80	96	0	57	57
80	98	0	57	57
81	17	0	76	76
81	74	0	63	63
81	13	0	78	78
81	4	0	81	81
81	107	0	54	54
82	45	0	71	71
82	86	0	61	61
82	102	0	57	57
82	89	0	60	60
82	100	0	57	57
82	108	0	55	55
83	40	0	73	73
83	104	0	57	57
83	105	0	57	57
83	9	0	81	81
83	39	0	73	73
84	112	0	56	56
84	103	0	58	58
84	106	0	57	57
85	49	0	73	73
85	35	0	76	76
85	110	0	57	57
85	113	0	56	56
85	61	0	69	69
86	121	0	55	55
86	56	0	72	72
86	117	0	56	56
86	130	0	54	54
86	118	0	56	56
86	38	0	76	76
86	120	0	55	55
86	114	0	57	57
87	125	0	55	55
87	87	0	66	66
87	115	0	57	57
88	27	0	81	81
88	132	0	55	55
88	6	0	87	87
88	129	0	56	56
88	18	0	83	83
89	128	0	57	57
89	126	0	57	57
89	82	0	69	69
89	143	0	55	55
89	141	0	55	55
89	81	0	69	69
89	111	0	61	61
90	135	0	57	57
91	150	0	55	55
91	124	0	59	59
91	144	0	56	56
91	122	0	59	59
92	146	0	57	57
92	147	0	57	57
92	77	0	73	73
92	44	0	81	81
92	54	0	78	78
92	133	0	59	59
92	47	0	81	81
93	149	0	57	57
93	28	0	85	85
93	163	0	53	53
93	93	0	70	70
93	139	0	59	59
93	142	0	59	59
93	109	0	66	66
94	145	0	59	59
94	85	0	73	73
95	64	0	78	78
95	154	0	57	57
95	156	0	57	57
95	162	0	55	55
95	21	0	89	89
96	157	0	58	58
96	155	0	58	58
96	101	0	71	71
97	173	0	55	55
97	164	0	57	57
97	159	0	59	59
97	158	0	59	59
98	171	0	56	56
98	91	0	76	76
98	94	0	75	75
99	186	0	54	54
99	41	0	89	89
99	169	0	57	57
99	184	0	54	54
99	167	0	58	58
100	179	0	57	57
100	131	0	67	67
100	140	0	66	66
100	175	0	57	57
100	183	0	56	56
100	177	0	57	57
100	178	0	57	57
101	185	0	56	56
101	136	0	68	68
101	166	0	60	60
101	123	0	69	69
102	151	0	66	66
102	199	0	54	54
102	152	0	65	65
102	197	0	55	55
102	148	0	66	66
102	182	0	58	58
102	97	0	79	79
103	196	0	56	56
103	68	0	85	85
103	214	0	52	52
103	205	0	54	54
103	88	0	81	81
103	138	0	69	69
103	188	0	58	58
104	204	0	55	55
104	198	0	57	57
104	127	0	72	72
104	80	0	85	85
104	187	0	59	59
104	194	0	57	57
105	218	0	53	53
105	222	0	51	51
105	209	0	56	56
105	255	0	45	45
105	84	0	84	84
105	211	0	55	55
105	217	0	53	53
105	203	0	57	57
105	216	0	53	53
105	134	0	72	72
105	95	0	82	82
106	202	0	58	58
106	137	0	73	73
106	160	0	67	67
107	245	0	50	50
107	264	0	45	45
107	246	0	49	49
107	251	0	48	48
107	259	0	46	46
107	232	0	52	52
107	243	0	50	50
107	116	0	77	77
107	168	0	66	66
107	153	0	70	70
107	161	0	67	67
108	277	0	44	44
108	234	0	53	53
108	189	0	62	62
108	235	0	53	53
109	287	0	43	43
109	236	0	54	54
109	170	0	67	67
110	282	0	45	45
110	181	0	66	66
110	191	0	64	64
110	223	0	56	56
110	193	0	63	63
110	172	0	68	68
110	228	0	56	56
110	230	0	56	56
110	294	0	42	42
110	165	0	69	69
110	237	0	55	55
110	231	27	28	55
111	248	0	53	53
111	200	0	63	63
111	268	0	48	48
111	256	0	51	51
111	269	0	48	48
111	192	0	64	64
111	195	0	64	64
111	257	0	51	51
111	250	0	52	52
111	212	0	61	61
111	226	0	57	57
111	289	0	45	45
112	275	0	48	48
112	208	0	63	63
112	258	0	51	51
112	176	0	69	69
112	213	0	61	61
112	190	0	66	66
112	271	0	49	49
112	273	0	48	48
112	238	0	56	56
112	220	0	59	59
112	227	0	58	58
112	119	0	82	82
112	244	0	55	55
112	263	24	26	50
113	295	0	44	44
113	296	0	44	44
113	215	0	61	61
113	281	0	48	48
113	225	0	59	59
113	274	0	49	49
113	284	0	48	48
113	291	0	46	46
114	276	0	50	50
114	221	0	61	61
114	292	0	47	47
114	233	0	59	59
114	278	0	49	49
114	174	0	72	72
114	279	0	49	49
114	239	0	58	58
114	252	0	55	55
114	290	0	47	47
114	267	0	51	51
114	201	0	66	66
114	247	0	56	56
114	285	0	49	49
114	229	0	60	60
114	262	0	52	52
114	206	0	65	65
114	261	0	53	53
114	288	22	26	48
115	241	0	58	58
115	219	0	62	62
115	266	0	52	52
115	280	0	50	50
115	253	0	56	56
115	254	0	55	55
115	240	0	59	59
115	180	0	71	71
115	272	0	52	52
115	265	0	53	53
115	207	0	66	66
115	242	0	58	58
115	293	0	48	48
115	210	0	65	65
115	283	4	46	50
116	300	0	47	47
116	249	0	58	58
116	298	21	26	47
117	270	0	54	54
118	299	0	49	49
118	260	0	57	57
118	297	1	48	49
118	286	18	35	53
123	224	0	69	69
 T1_Total_Damage		T2_Total_Damage		T3_Total_Damage		T4_Total_Damage
	2026.61			2708.04			2386			3000			
Game is WiN
Total Enemies = 300
Averge First shoot delay = 0.39
Avergy kill delay = 59.3033
