KTS	S	FD	KD	LT
12	7	0	11	11
14	24	0	10	10
14	18	0	11	11
14	8	0	13	13
16	30	0	11	11
16	17	0	13	13
16	29	0	11	11
18	32	0	13	13
21	48	0	11	11
21	46	0	12	12
21	47	0	11	11
24	52	0	13	13
25	19	0	22	22
25	73	0	10	10
26	22	0	22	22
26	63	0	13	13
27	55	0	16	16
27	83	0	10	10
27	87	0	9	9
28	37	0	21	21
28	59	0	16	16
28	88	0	10	10
28	34	0	21	21
28	66	0	14	14
29	67	0	15	15
29	80	0	13	13
29	82	0	12	12
29	84	0	12	12
29	23	0	25	25
29	11	0	27	27
30	95	0	11	11
30	81	0	13	13
30	96	0	11	11
30	89	0	12	12
31	100	0	10	10
31	91	0	13	13
31	97	0	11	11
31	94	0	12	12
32	93	0	14	14
33	103	0	12	12
34	105	0	12	12
35	79	0	19	19
38	120	0	11	11
39	129	0	9	9
40	114	0	16	16
40	127	0	10	10
44	116	0	20	20
44	10	0	43	43
48	154	0	11	11
51	26	0	47	47
52	180	0	10	10
52	147	0	17	17
52	145	0	17	17
53	164	0	13	13
53	142	0	19	19
53	153	0	16	16
53	177	0	11	11
54	168	0	14	14
54	183	0	11	11
54	170	0	13	13
54	159	0	15	15
55	176	0	13	13
55	171	0	14	14
56	194	0	11	11
57	190	0	13	13
57	192	0	13	13
58	6	0	57	57
59	204	0	11	11
59	1	0	59	59
60	201	0	13	13
60	197	0	14	14
60	35	0	53	53
61	13	0	59	59
61	28	0	56	56
62	41	0	54	54
63	214	0	12	12
63	27	0	59	59
63	25	0	59	59
64	232	0	11	11
64	16	0	61	61
64	14	0	61	61
64	38	0	57	57
65	42	0	56	56
65	3	0	65	65
66	230	0	13	13
66	56	0	54	54
67	236	0	13	13
67	4	0	67	67
67	72	0	52	52
67	49	0	57	57
67	39	0	60	60
68	149	0	32	32
68	71	0	53	53
69	58	0	57	57
70	31	0	65	65
71	254	0	14	14
71	20	0	67	67
71	75	0	56	56
72	249	0	15	15
72	5	0	72	72
72	78	0	57	57
72	61	0	59	59
73	245	0	17	17
73	21	0	69	69
73	51	0	62	62
73	64	0	60	60
73	33	0	67	67
74	268	0	13	13
74	267	0	13	13
74	57	0	62	62
74	9	0	73	73
74	219	0	22	22
74	68	0	60	60
74	40	0	66	66
75	271	0	13	13
75	272	0	13	13
75	234	0	21	21
75	273	0	13	13
75	65	0	61	61
76	45	0	67	67
76	86	0	58	58
77	54	0	66	66
77	76	0	62	62
77	107	0	55	55
78	282	0	13	13
78	85	0	61	61
78	36	0	71	71
78	152	0	42	42
78	140	0	44	44
78	156	0	40	40
78	74	0	63	63
78	99	0	57	57
79	285	0	13	13
79	101	0	58	58
79	143	0	45	45
79	203	0	32	32
79	191	0	35	35
79	44	0	70	70
80	287	0	13	13
80	104	0	59	59
80	124	0	51	51
80	158	0	41	41
80	123	0	52	52
80	161	0	41	41
80	136	0	48	48
80	264	0	20	20
80	53	0	69	69
80	92	0	62	62
80	50	0	69	69
81	289	0	14	14
81	284	0	15	15
81	288	0	14	14
81	290	0	14	14
81	108	0	58	58
81	300	0	12	12
81	221	0	29	29
81	239	0	27	27
81	131	0	50	50
81	270	0	19	19
81	240	0	26	26
81	160	0	42	42
81	262	0	21	21
81	215	0	29	29
82	295	0	14	14
82	294	0	14	14
82	117	0	55	55
82	77	0	67	67
82	70	0	68	68
82	62	0	69	69
82	102	0	61	61
82	111	0	59	59
82	166	0	42	42
82	286	0	16	16
82	211	0	32	32
82	163	0	43	43
82	150	0	46	46
82	222	0	29	29
82	174	0	41	41
82	206	0	34	34
82	260	0	22	22
83	12	0	81	81
83	135	0	51	51
83	125	0	53	53
83	238	0	29	29
83	231	0	30	30
83	275	0	20	20
83	157	0	45	45
83	162	0	44	44
83	258	0	24	24
84	106	0	62	62
84	134	0	53	53
84	112	0	61	61
84	122	0	57	57
84	90	0	66	66
84	119	0	57	57
85	43	0	76	76
85	182	0	42	42
85	69	0	71	71
85	276	0	22	22
85	200	0	39	39
85	126	0	55	55
85	115	0	61	61
86	277	0	22	22
86	248	0	30	30
86	178	0	44	44
86	133	0	55	55
86	141	0	52	52
86	196	0	40	40
86	199	0	40	40
86	213	0	35	35
86	173	0	45	45
86	144	0	52	52
86	253	0	29	29
86	243	0	31	31
86	259	0	27	27
86	138	0	53	53
87	184	0	44	44
87	130	0	57	57
87	269	0	26	26
87	250	0	30	30
87	207	0	38	38
87	202	0	40	40
87	109	0	64	64
87	208	0	38	38
87	113	0	63	63
87	188	0	43	43
87	2	0	87	87
87	151	0	51	51
88	279	0	24	24
88	242	0	33	33
88	274	0	26	26
88	217	0	36	36
88	266	0	28	28
88	110	0	65	65
88	251	0	31	31
88	233	0	35	35
88	261	0	28	28
88	137	0	56	56
89	256	0	31	31
89	139	0	55	55
